ACCOUNT NUMBER ,PR JUNE 22,CR JULY 22
37600822450,74,
37600822480,234,234
37600822502,523,
37600823000,6,
37600823200,743,0
37600823301,193,199
37600823330,817,824
37600823335,327,327
37600823340,1016,1016
37600823352,420,
37600823400,2405,
37600823500,1179,1186
37600823900,38,
37600823940,141,
37600823950,330,334
37600824000,496,504
37600824100,392,405
37600824500,91,
37600824600,146,151
37600824630,585,585
37600824650,431,461
37600824700,12,12
37600825001,438,
37600825250,749,
37600825260,,
37600825261,694,
37600825270,1204,1204
37600825280,642,642
37600825300,221,
37600825340,979,982
37600825350,265,273
37600825401,928,936
37600825430,163,171
37600825500,756,
37600825600,94,
37600825701,1087,
37600825710,1190,1194
37600825730,244,
37600825735,199,199
37600825740,1344,1352
37600825751,613,613
37600825755,173,
37600825762,224,229
37600825770,711,711
37600825776,,
37600825781,210,
37600825790,2745,2745
37600825800,277,277
37600825830,367,371
37600825900,3422,3462
37600825910,17,
37600825920,898,898
37600826000,250,252
37600826250,730,739
37600826260,889,891
37600826500,858,873
37600826550,154,
37600827001,,
37600827100,55,55
37600827220,484,
37600827300,946,
37600827501,2208,2208
37600828000,560,569
37600828100,,
37600828130,1199,
37600828135,21,
37600828140,,
37600828150,729,734
37600828160,228,236
37600829000,1186,1188
37600829250,308,311
37600829340,19,
37600829350,7274,7274
37600829351,,
37600829360,1386,1390
37600829550,44,
37600829560,749,
37600829570,831,
37600829575,,
37600829600,1572,1580
37600829651,1613,1622
37600829660,381,390
37600829665,1629,
37600829670,695,700
37600829680,485,
37600829685,194,197
37600829690,0,
37600829750,473,481
37600829761,1050,1050
37600829770,,
37600829771,335,
37600829780,167,
37600829790,852,
37600829801,291,
37600829810,107,107
37600830002,213,222
37600830010,639,
37600830300,639,
37600830320,195,
37600830400,69,73
37600830420,85,85
37600830900,33,
37600831000,1029,1052
37600831020,531,
37600831030,,
37600831031,323,
37600831040,8,
37600831050,888,
37600831100,482,488
37600831110,133,136
37600831120,810,815
37600831130,500,500
37600831140,448,
37600831150,138,
37600831500,7,7
37600831750,659,
37600831760,864,866
37600831770,10,
37600832000,1749,1755
37600832080,639,646
37600832100,88,
37600832200,763,764
37600832240,9,
37600832300,196,200
37600832320,251,263
37600832330,1384,1389
37600832340,2559,
37600832360,53,
37600832370,197,208
37600832380,147,147
37600832400,1082,
37600832430,2106,2125
37600832440,391,
37600832450,692,
37600832500,990,
37600832520,284,
37600832750,988,1017
37600832760,312,
37600832800,16,
37600832850,1301,
37600832900,2202,2251
37600832950,373,
37600832955,449,461
37600832960,46,
37600833000,1,
37600833050,281,296
37600833080,,
37600833400,93,
37600833500,7445,7514
37600835040,192,196
37600835050,1472,1472
37600835060,1267,1269
37600835070,1808,1817
37600835080,292,
37600835090,1682,1688
37600835100,401,401
37600835110,344,
37600835120,199,199
37600835200,335,
37600835250,241,
37600835300,22078,
37600835340,18289,
37600835350,,
37600835351,7647,
37600835360,4835,
37600836011,1041,1058
37600836600,721,
37600836751,740,
37600836800,804,
37600836810,654,779
37600836823,,
37600836824,138,
37600836832,190,
37600836843,176,
37600836853,950,950
37600836866,560,560
37600836873,620,
37600836885,621,621
37600836892,664,664
37600837008,103,107
37600837016,416,416
37600837025,360,
37600837030,456,456
37600837063,1782,
37600837072,40,40
37600837080,381,
37600837093,479,
37600837254,421,
37600837518,124,
37600838005,,
37600838006,,
37600838007,673,677
37600838025,473,
37600838034,112,
37600838042,1746,1746
37600838053,758,
37600838063,498,
37600838502,114,
37600839040,51,
37600839051,,
37600839251,,
37600839506,437,437
37600839700,1702,1702
37600840005,9420,9420
37600841000,1096,1096
37600841150,702,
37600841201,495,
37600841300,452,
37600841312,134,135
37600841320,0,
37600841325,742,742
37600841380,,
37600841400,526,
37600842007,50,
37600842500,619,
37600843000,2275,
37600843200,638,
37600843300,21,
37600843512,,
37600843513,1000,
37600844008,50,50
37600844512,179,
37600844530,735,
37600844540,95,
37600844561,4022,
37600844580,1029,
37600844590,150,
37600844595,115,
37600844600,203,
37600844610,114,
37600844630,,
37600844631,0,
37600844650,1,
37600844850,1223,1223
37600844860,691,
37600844900,26,26
37600844920,262,262
37600844930,518,518
37600844940,1632,
37600844950,230,
37600844960,490,490
37600845202,475,
37600845500,2936,2936
37600846001,127,
37600846100,519,
37600846150,154,
37600846160,0,
37600846500,193,
37600846600,15,
