ACCOUNT NUMBER,PR JUNE 22,CR JULY 22,,
37600434090,752,756,,
37600434100,1,,,
37600434110,71,75,,
37600434111,0,6,,
37600434120,439,448,,
37600434151,81,,,
37600434180,381,381,,
37600434181,587,597,,
37600434185,140,140,,
37600434190,1946,1951,,
37600434200,643,665,,
37600434210,392,418,,
37600434220,2006,2006,,
37600434230,1055,1063,,
37600434240,310,313,,
37600434250,284,,,
37600434260,186,194,,
37600434270,350,350,,
37600434280,275,279,,
37600434290,6,,,
37600434300,108,112,,
37600434310,96,103,,
37600434330,1360,1366,,
37600434340,205,,,
37600434350,565,571,,
37600434370,,,,
37600434501,2845,2885,,
37600434540,649,651,,
37600434550,149,149,,
37600434560,292,,,
37600434570,149,149,,
37600434750,92,92,,
37600434760,707,710,,
37600434780,145,145,,
37600434801,75,75,,
37600434810,,,,
37600434820,0,0,,
37600434830,1822,1840,,
37600434850,,,,
37600434870,952,950,,
37600434890,155,,,
37600434920,406,411,,
37600434950,0,,,
37600434961,514,,,
37600434971,1921,,,
37600434975,475,504,,
37600434980,119,129,,
37600434991,801,,,
37600435010,241,241,,
37600435020,39,,,
37600435031,907,,,
37600435035,501,501,,
37600435040,903,910,,
37600435050,814,819,,
37600435060,492,505,,
37600436000,0,,,
37600436100,99929,,,
37600436500,429,,,
37600436601,169,,,
37600437001,,,,
37600437002,307,308,,
37600438004,165,,,
37600439000,342,350,,
37600439140,101,101,,
37600439250,94,110,,
37600439500,399,413,,
37600441500,,,,
37600443400,,,,
37600443460,227,238,,
37600445000,2641,2641,,
37600445200,431,,,
37600446600,16,16,,
37600447002,,,,
37600447501,,,,
37600448000,979,993,,
37600448120,171,,,
37600448504,,,,
37600449001,863,866,,
37600449400,542,,,
37600449980,492,,,
37600449990,1671,1671,,
37600450010,77,77,,
37600450020,0,,,
37600450041,737,,,
37600450050,,,,
37600450060,706,718,,
37600450070,1322,,,
37600450080,280,280,,
37600450090,258,260,,
37600450100,1228,1228,,
37600450140,329,333,,
37600450150,,,,
37600450151,190,789,,
37600450170,,,,
37600450180,804,,,
37600450190,817,817,,
37600450200,182,,,
37600450270,120,,,
37600450290,211,,,
37600450300,54,54,,
37600450310,136,145,,
37600450320,901,907,,
37600450340,952,961,,
37600450350,904,932,,
37600450380,55,57,,
37600450400,253,261,,
37600450590,671,687,,
37600450600,410,410,,
37600450610,107,114,,
37600450650,904,,,
37600450700,1695,1695,,
37600450710,289,293,,
37600450720,334,337,,
37600450730,318,1129,,
37600450740,214,,,
37600450750,1526,1547,,
37600450760,97,97,,
37600450770,234,234,,
37600450780,207,207,,
37600450790,317,1129,,
37600450800,693,699,,
37600450810,552,,,
37600450820,297,306,,
37600450830,12,,,
37600450840,1670,1670,,
37600450850,197,202,,
37600450900,360,360,,
