 BILLING 	  	 ZONE  	 376-001 	  	  
ACCOUNT 	 METER 	  CLASS  	 PREVIOUS 	 CURRENT 	 DEDUCTION 
37600143420	141210856	A	475
37600143430	LXH080781	A	519
37600143650	HN99011128	A	0
37600143860	99A118676	A	1761
37600143865	141210440	A	381
37600143890	37600143890	A	0
37600144120	141210812	A	136
37600144150	12000491	A	0
37600144160	LXH081023	A	602
37600144170	73	A	203
37600144300	05 000266	A	0
37600144306	141210613	A	754
37600144551	4 897882	A	792
37600144600	HN05110509	A	0
37600144760	3031	A	704
37600145002	37600145002	A	0
37600146870	9000277	A	2630
37600146901	12000576	A	15
37600147001	AC551190	A	0
37600147600	160	A	316
37600147700	80087	A	0
37600148810	9162	A	2064
37600148830	3208	A	0
37600148840	141210115	A	0
37600148850	HN3367649	A	0
37600148880	141210120	A	0
37600148910	L061811590	A	0
37600148930	8181	A	0
37600148950	805314	A	80
37600148955	CEKI3388	A	606
37600148960	14121454	A	1135
37600148970	L091469596	A	477
37600149150	141210745	A	380
37600149990	15022270	A	65
37600150000	141210999	A	419
37600150050	05 001798	A	0
37600150070	12000593	A	10
37600150250	141210694	A	0
37600150500	3621	A	158
37600150750	3218	A	0
37600151000	05 001792	A	590
37600151200	141210792	A	265
37600151210	GKMJ06086424	A	1098
37600151550	9212	A	686
37600152540	141210324	A	371
37600153000	814334	A	0
37600153010	814334	A	124
37600153021	141210780	A	343
37600153030	141210177	A	155
37600153200	820691	A	0
37600153250	61810716	A	310
37600153400	HN04102662	A	2157
37600153600	05 01473	A	336
37600153740	1201405166	A	320
37600155011	141210835	A	84
37600155020	141210000	A	91
37600155030	50	A	108
37600155040	61399509	A	444
37600155050	L09107959	A	814
37600155060	12000124	A	97
37600155070	90P220847	A	0
37600155080	907	A	1109
37600155100	12000685	C	9498
37600155120	173	A	176
37600155130	150254518	A	0
37600155140	3526	A	480
37600155170	141210865	A	1322
37600155200	11059122	A	165
37600155310	450227218	A	1179
37600155340	2019020087	A	897
37600155380	961603	A	56
37600155400	CEKI12953	A	408
37600155430	101324055	A	60
37600155450	141210407	A	0
37600155460	GKM06086057	A	10
37600155470	1201006	A	815
37600155490	3624	A	828
37600155500	GKM06C2436	A	10
37600155540	12LA050288P	A	116
37600155550	141210762	A	117
37600155580	12000133	A	289
37600155610	37600155610	A	344
37600155620	LAMU0146	B	3292
37600155650	141210568	A	119
37600155690	37600155690	A	11
37600155750	GKMJ211040042	A	482
37600155790	37600155790	A	391
37600155800	91056055	C	2014
37600155910	150208118	A	482
37600155920	12000135	A	57
37600155990	140271285	A	115
37600156000	GKMJZ100900129	A	197
37600156120	GKM12A07428C	A	604
37600156130	141210963	A	87
37600156140	12000295	A	20
37600156190	12000274	A	239
37600156200	1102251	A	50
37600156210	12000461	A	101
37600156230	15022318	A	279
37600156240	141210704	A	781
37600156300	14010091	A	0
37600156400	LAMU0091	A	39
37600156440	20190200287	A	48
37600156450	101325608	A	306
37600156550	3108	A	89
37600156600	141210018	A	509
37600156700	141210959	A	0
37600156750	81399507	A	1462
37600156900	L101325629	A	2477
37600157100	3558	A	362
37600157170	155140168	A	0
37600157350	LXH080398	A	0
37600157360	141210925	A	64
37600158710	141210771	A	491
37600158780	GKMJZ100900126	A	639
37600158820	LAMU0080	A	192
37600159000	14121078	A	0
37600159010	141210571	A	0
37600160040	1210431	A	0
37600160120	12000077	A	517
37600160140	9258	A	1194
37600160170	141210571	A	0
37600160190	LXH1318427	A	0
37600160220	37600160220	C	30
37600160230	12000150	A	249
37600160240	473	A	743
37600160250	141210138	A	0
37600160280	3259	A	1651
37600160360	141210029	A	261
37600160370	141210992	A	961
37600160400	15024569	A	0
37600160440	12000124	A	0
37600160490	20190200804	A	393
37600160500	L00100226	A	0
37600160600	80058	A	73
37600160610	141210935	A	122
37600160620	37600160620	A	147
37600160630	2962	A	0
37600160680	9000350	A	1808
37600160690	L1324028	A	1586
37600160760	141210969	A	113
37600160810	141210313	A	441
37600160820	37600160820	A	47
37600160830	37600160830	A	251
37600160860	16051711	A	142
37600160870	141210777	A	1138
37600160900	141210392	A	530
37600160910	SNDE09005635	A	16
37600160940	53122182013	A	377
37600160960	20180800226	A	92
37600160970	CEKI3093	A	56
37600160990	37600160990	A	110
37600161110	37600161110	A	5
37600161120	37600161120	A	2
37600161130	37600161130	A	14
37600161140	37600161140	A	3
37600161150	37600161150	A	4
37600161160	37600161160	A	8
37600161170	37600161170	A	1
37600161200	141210661	A	1072
37600161300	16001725	A	546
37600161350	1201004	A	2116
37600161450	141210715	A	304
37600161480	HN04101143	A	34
37600161500	37600161500	A	121
37600161560	37600161560	A	472
